Candidate gene model,chromosomes,marker,start,stop,gene description,interpro GO
Cotton_A_14237,locus=CA_chr7,S1_842793792 & S1_842793872 & S1_842793960,18143442,18145169," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_14228,locus=CA_chr7,S1_842793792 & S1_842793872 & S1_842793960,17912477,17913677," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_14230,locus=CA_chr7,S1_842793792 & S1_842793872 & S1_842793960,18009882,18019817," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_14232,locus=CA_chr7,S1_842793792 & S1_842793872 & S1_842793960,18046614,18054222," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_14229,locus=CA_chr7,S1_842793792 & S1_842793872 & S1_842793960,17920522,17922005, Leucine-rich repeat,protein protein interaction
Cotton_A_14236,locus=CA_chr7,S1_842793792 & S1_842793872 & S1_842793960,18135145,18136398, Leucine-rich repeat,protein protein interaction
Cotton_A_29413,locus=CA_chr7,S1_917690183,92798578,92806654, Leucine-rich repeat,protein protein interaction
Cotton_A_29414,locus=CA_chr7,S1_917690183,92864801,92872699, Leucine-rich repeat,protein protein interaction
Cotton_A_29432,locus=CA_chr7,S1_917690183,93097471,93098205, Leucine-rich repeat,protein protein interaction
Cotton_A_35150,locus=CA_chr7,S1_917690183,93136286,93137329, S-locus glycoprotein,recognition of pollen
Cotton_A_29418,locus=CA_chr7,S1_917690183,92982157,92984017, Helix-turn-helix type 3,transcription
Cotton_A_12954,locus=CA_chr9,S1_1380184051,66308780,66312510, Asparagine synthase,asparagine biosynthetic process
Cotton_A_12919,locus=CA_chr9,S1_1380184051,66048291,66052681," Glycoside hydrolase, family 3, N-terminal",carbohydrate metabolic process 
Cotton_A_12910,locus=CA_chr9,S1_1380184051,65957570,65958424," Glycosyl transferase, family 8",carbohydrate metabolic process 
Cotton_A_12933,locus=CA_chr9,S1_1380184051,66113687,66119430, Gelsolin,cell organization
Cotton_A_12909,locus=CA_chr9,S1_1380184051,65944813,65946480, Tubulin,cell organization
Cotton_A_12934,locus=CA_chr9,S1_1380184051,66136714,66144014, Villin headpiece,cytoskeleton organization
Cotton_A_02969,locus=CA_chr9,S1_1387000550,72927471,72928024, Heat shock protein Hsp20,HSP
Cotton_A_12904,locus=CA_chr9,S1_1380184051,65896686,65897156, Heat shock protein Hsp20,HSP
Cotton_A_12905,locus=CA_chr9,S1_1380184051,65912417,65912887, Heat shock protein Hsp20,HSP
Cotton_A_02941,locus=CA_chr9,S1_1387000550,73174713,73178856, Lecithin:cholesterol acyltransferase,lipid metabolism
Cotton_A_12893,locus=CA_chr9,S1_1380184051,65822962,65825112, Short-chain dehydrogenase/reductase SDR,metabolic process
Cotton_A_12894,locus=CA_chr9,S1_1380184051,65826218,65828493, Short-chain dehydrogenase/reductase SDR,metabolic process
Cotton_A_02965,locus=CA_chr9,S1_1387000550,72994032,72997270, Thiolase-like,metabolic process
Cotton_A_12948,locus=CA_chr9,S1_1380184051,66253872,66257815, Armadillo,NA
Cotton_A_02951,locus=CA_chr9,S1_1387000550,73108177,73109934, Armadillo-type fold,NA
Cotton_A_12945,locus=CA_chr9,S1_1380184051,66236067,66240159," ATPase, AAA-2",NA
Cotton_A_12940,locus=CA_chr9,S1_1380184051,66179687,66183031, C2 calcium-dependent membrane targeting,NA
Cotton_A_12942,locus=CA_chr9,S1_1380184051,66190182,66192759, C2 calcium-dependent membrane targeting,NA
Cotton_A_12943,locus=CA_chr9,S1_1380184051,66193789,66196371, C2 calcium-dependent membrane targeting,NA
Cotton_A_12944,locus=CA_chr9,S1_1380184051,66218724,66221331, C2 calcium-dependent membrane targeting,NA
Cotton_A_12937,locus=CA_chr9,S1_1380184051,66159694,66160251, Carbohydrate/purine kinase,NA
Cotton_A_02972,locus=CA_chr9,S1_1387000550,72899115,72903573, Chaperonin Cpn60,NA
Cotton_A_12953,locus=CA_chr9,S1_1380184051,66303474,66304565, Chlorophyll A-B binding protein,NA
Cotton_A_02983,locus=CA_chr9,S1_1387000550,72607926,72616402, DENN,NA
Cotton_A_02939,locus=CA_chr9,S1_1387000550,73192427,73195678, Development/cell death domain,NA
Cotton_A_02961,locus=CA_chr9,S1_1387000550,73014373,73016916, DNA/RNA-binding protein Alba-like,NA
Cotton_A_12912,locus=CA_chr9,S1_1380184051,65971353,65975744," Domain of unknown function DUF641, plant",NA
Cotton_A_02953,locus=CA_chr9,S1_1387000550,73076138,73078208," Domain of unknown function DUF862, eukaryotic",NA
Cotton_A_02962,locus=CA_chr9,S1_1387000550,73011107,73012237," F-box domain, cyclin-like",NA
Cotton_A_02970,locus=CA_chr9,S1_1387000550,72921484,72922497, GCN5-related N-acetyltransferase (GNAT) domain,NA
Cotton_A_02947,locus=CA_chr9,S1_1387000550,73123425,73124514, GDP-fucose protein O-fucosyltransferase,NA
Cotton_A_02950,locus=CA_chr9,S1_1387000550,73113347,73114793, GDP-fucose protein O-fucosyltransferase,NA
Cotton_A_02958,locus=CA_chr9,S1_1387000550,73034194,73037291," GTP-binding protein, HSR1-related",NA
Cotton_A_02979,locus=CA_chr9,S1_1387000550,72698788,72712352," IQ motif, EF-hand binding site",NA
Cotton_A_12886,locus=CA_chr9,S1_1380184051,65795914,65796564," Legume lectin, beta chain",NA
Cotton_A_12924,locus=CA_chr9,S1_1380184051,66077925,66078552, Machado-Joseph disease protein MJD,NA
Cotton_A_02966,locus=CA_chr9,S1_1387000550,72948901,72952087, Pectate lyase/Amb allergen,NA
Cotton_A_02968,locus=CA_chr9,S1_1387000550,72941393,72943327, Pentatricopeptide repeat,NA
Cotton_A_12900,locus=CA_chr9,S1_1380184051,65884788,65885949, Pentatricopeptide repeat,NA
Cotton_A_12931,locus=CA_chr9,S1_1380184051,66103927,66106128, Pentatricopeptide repeat,NA
Cotton_A_02940,locus=CA_chr9,S1_1387000550,73189909,73190904, Phosphate-induced protein 1,NA
Cotton_A_12938,locus=CA_chr9,S1_1380184051,66168825,66170606, Protein of unknown function DUF1313,NA
Cotton_A_12906,locus=CA_chr9,S1_1380184051,65930679,65933522, Protein of unknown function DUF3527,NA
Cotton_A_12932,locus=CA_chr9,S1_1380184051,66107219,66109164, RNA recognition motif domain,NA
Cotton_A_12941,locus=CA_chr9,S1_1380184051,66184138,66184903, RNA recognition motif domain,NA
Cotton_A_02960,locus=CA_chr9,S1_1387000550,73024165,73029073, Tetratricopeptide repeat-containing,NA
Cotton_A_02981,locus=CA_chr9,S1_1387000550,72661819,72664117, Tetratricopeptide repeat-containing,NA
Cotton_A_12914,locus=CA_chr9,S1_1380184051,65986693,65987693, Thioesterase superfamily,NA
Cotton_A_12926,locus=CA_chr9,S1_1380184051,66083663,66083953, Thylakoid soluble phosphoprotein TSP9,NA
Cotton_A_02942,locus=CA_chr9,S1_1387000550,73173767,73174237, Ubiquitin,NA
Cotton_A_12913,locus=CA_chr9,S1_1380184051,65983072,65984754, Uncharacterised protein family UPF0503,NA
Cotton_A_02957,locus=CA_chr9,S1_1387000550,73044403,73050397, Uncharacterised protein family Ycf55,NA
Cotton_A_02952,locus=CA_chr9,S1_1387000550,73097848,73103706, WD40 repeat,NA
Cotton_A_12929,locus=CA_chr9,S1_1380184051,66095799,66096962," Zinc finger, C2H2-type",NA
Cotton_A_12946,locus=CA_chr9,S1_1380184051,66245163,66247274," Zinc finger, CCCH-type",NA
Cotton_A_02945,locus=CA_chr9,S1_1387000550,73145326,73146479," Zinc finger, RING-type",NA
Cotton_A_12935,locus=CA_chr9,S1_1380184051,66146395,66148411," Zinc finger, RING-type",NA
Cotton_A_12939,locus=CA_chr9,S1_1380184051,66172098,66174584," Zinc finger, RING-type",NA
Cotton_A_02974,locus=CA_chr9,S1_1387000550,72872586,72873176," Photosystem I PsaE, reaction centre subunit IV",photosynthesis
Cotton_A_02955,locus=CA_chr9,S1_1387000550,73067447,73069113," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_02967,locus=CA_chr9,S1_1387000550,72946058,72948242," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_12887,locus=CA_chr9,S1_1380184051,65796654,65797367," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_12888,locus=CA_chr9,S1_1380184051,65798765,65800858," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_12907,locus=CA_chr9,S1_1380184051,65937558,65940566," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_12930,locus=CA_chr9,S1_1380184051,66099032,66102238," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_02973,locus=CA_chr9,S1_1387000550,72875395,72881961, Leucine-rich repeat,protein protein interaction
Cotton_A_12923,locus=CA_chr9,S1_1380184051,66070704,66076296, Peptidase M41,proteolysis
Cotton_A_12899,locus=CA_chr9,S1_1380184051,65881071,65884109," Peptidase S8/S53, subtilisin/kexin/sedolisin",proteolysis
Cotton_A_02938,locus=CA_chr9,S1_1387000550,73199720,73202913," Proteasome, alpha-subunit, conserved site",proteolysis involved in cellular protein catabolic process 
Cotton_A_12928,locus=CA_chr9,S1_1380184051,66086622,66088157, Cytochrome P450,redox 
Cotton_A_02976,locus=CA_chr9,S1_1387000550,72863253,72865756, Cytochrome P450,redox 
Cotton_A_02975,locus=CA_chr9,S1_1387000550,72866932,72869509, Glutaredoxin,redox 
Cotton_A_12917,locus=CA_chr9,S1_1380184051,66032424,66035279," Multicopper oxidase, type 1",redox 
Cotton_A_12922,locus=CA_chr9,S1_1380184051,66068989,66069492, NADH:ubiquinone/plastoquinone oxidoreductase,redox 
Cotton_A_12949,locus=CA_chr9,S1_1380184051,66263252,66265771, Oxoglutarate/iron-dependent oxygenase,redox 
Cotton_A_02978,locus=CA_chr9,S1_1387000550,72828822,72830303," Pyridine nucleotide-disulphide oxidoreductase, class-II",redox 
Cotton_A_02964,locus=CA_chr9,S1_1387000550,73002398,73003722, Like-Sm ribonucleoprotein (LSM) domain,RNA processing
Cotton_A_12895,locus=CA_chr9,S1_1380184051,65848031,65849880, Protein phosphatase 2C-like,signal transduction
Cotton_A_12898,locus=CA_chr9,S1_1380184051,65865755,65871585, Ran GTPase,signal transduction
Cotton_A_02944,locus=CA_chr9,S1_1387000550,73166518,73167372, Bromodomain transcription factor,transcription
Cotton_A_02971,locus=CA_chr9,S1_1387000550,72913513,72916616, Helix-loop-helix DNA-binding domain,transcription
Cotton_A_12918,locus=CA_chr9,S1_1380184051,66043883,66044975," SANT domain, DNA binding",transcription
Cotton_A_12892,locus=CA_chr9,S1_1380184051,65816778,65820129," Transcription factor IIA, alpha/beta subunit",transcription
Cotton_A_12897,locus=CA_chr9,S1_1380184051,65856007,65858133," Ribosomal protein S1, RNA-binding domain",translation
Cotton_A_02980,locus=CA_chr9,S1_1387000550,72664869,72666368, Ammonium transporter,transport
Cotton_A_12903,locus=CA_chr9,S1_1380184051,65895660,65896136, Ctr copper transporter,transport
Cotton_A_12908,locus=CA_chr9,S1_1380184051,65941882,65943230," Mitochondrial inner membrane translocase complex, Tim8/9/10/13-zinc finger-like",transport
Cotton_A_12916,locus=CA_chr9,S1_1380184051,65990376,65992368, Oligopeptide transporter,transport
Cotton_A_12936,locus=CA_chr9,S1_1380184051,66152291,66155630, Sodium/calcium exchanger membrane region,transport
Cotton_A_12920,locus=CA_chr9,S1_1380184051,66054151,66056030, Sugar/inositol transporter,transport
Cotton_A_02943,locus=CA_chr9,S1_1387000550,73168050,73170058, Synaptobrevin,transport
Cotton_A_02959,locus=CA_chr9,S1_1387000550,73029940,73033332, Synaptobrevin,transport
Cotton_A_02946,locus=CA_chr9,S1_1387000550,73124815,73126047, Zinc/iron permease,transport
Cotton_A_02949,locus=CA_chr9,S1_1387000550,73114925,73116148, Zinc/iron permease,transport
Cotton_A_02977,locus=CA_chr9,S1_1387000550,72842532,72843800, Retrotransposon gag protein,transposon
Cotton_A_24021,locus=Ca1,S1_501185184,107398282,107401838," Glycosyl transferase, family 14",carbohydrate metabolic process 
Cotton_A_24017,locus=Ca1,S1_501185184,107488681,107492667," Pectinesterase, catalytic",cell wall
Cotton_A_24032,locus=Ca1,S1_501185184,107306409,107309709," Cytochrome b561, eukaryote",electron transport chain
Cotton_A_24009,locus=Ca1,S1_501185184,107565124,107569951, Condensin complex subunit 2/barren,NA
Cotton_A_24028,locus=Ca1,S1_501185184,107338814,107344313, Domain of unknown function DUF1084,NA
Cotton_A_24027,locus=Ca1,S1_501185184,107349117,107355374, N2227-like,NA
Cotton_A_24006,locus=Ca1,S1_501185184,107659476,107661131, Pentatricopeptide repeat,NA
Cotton_A_24013,locus=Ca1,S1_501185184,107542900,107543940, Plant lipid transfer protein/seed storage/trypsin-alpha amylase inhibitor,NA
Cotton_A_24010,locus=Ca1,S1_501185184,107562885,107564377, Protein of unknown function DUF1068,NA
Cotton_A_24022,locus=Ca1,S1_501185184,107379112,107383733, tRNA-binding arm,NA
Cotton_A_24019,locus=Ca1,S1_501185184,107471701,107472749, VQ,NA
Cotton_A_24029,locus=Ca1,S1_501185184,107318451,107318975, VQ,NA
Cotton_A_24014,locus=Ca1,S1_501185184,107513162,107515504, X8,NA
Cotton_A_24023,locus=Ca1,S1_501185184,107375014,107377921," Zinc finger, BED-type predicted",NA
Cotton_A_24020,locus=Ca1,S1_501185184,107402474,107408925," Zinc finger, DHHC-type, palmitoyltransferase",NA
Cotton_A_24012,locus=Ca1,S1_501185184,107547227,107549083, DNA-binding WRKY,transcription
Cotton_A_24016,locus=Ca1,S1_501185184,107503116,107506540," Transcription factor TFIIE, alpha subunit",transcription
Cotton_A_24015,locus=Ca1,S1_501185184,107508646,107509929, Ribosomal protein L13e,translation
Cotton_A_24024,locus=Ca1,S1_501185184,107371557,107371961, Ribosomal protein L27e,translation
Cotton_A_24018,locus=Ca1,S1_501185184,107484908,107487858, Zinc/iron permease,transport
